_id,id,learningTrackCluster_id,Number of Learning Activities in LT,Number of Exercises in LT,Number of Engagement Activities in LT,Number of Communication Activities in LT,Number of Videos in LT,Number of Games in LT,Times Edited,Average Fun of LT,Average Difficulty of LT,typeLT,highuseteachLT,notprimary
944,3391a67f-f33a-47e0-a284-99a5bdfbc99c,12,7.0,5,0,0,2,1,0,3.7142857142857144,,3,1,0
471,a5e4a9ed-675e-4017-9b35-17745483bb54,19,0.0,0,1,0,0,0,1,,,1,0,1
251,f0863928-06ee-446f-8f97-8d14d9259656,8,5.0,8,2,0,0,1,0,3.0,3.0,2,0,1
234,ba1d9d96-e016-4aff-9d8e-a0ff0953d28e,14,37.0,25,0,13,0,0,0,,,2,0,1
530,3a5adaab-0e5f-460c-b835-4e752647c4fb,15,0.0,0,1,0,0,0,0,,,1,1,0
945,4a23c08f-809b-473c-8838-654f2bcdc2c7,15,0.0,0,1,0,0,0,0,,,1,1,0
237,ebda7ab2-de00-456a-9101-032402c26960,18,12.0,8,3,0,2,0,0,,,0,0,0
254,14ae06ef-a882-4771-85ae-e9ee7cbcd7f2,15,36.0,19,6,1,2,0,0,,,1,0,0
474,779959ce-2a22-4987-b19b-0b58f3987bac,19,39.0,17,14,2,2,1,0,,,1,0,1
267,a022fa70-66cf-421d-bdb0-7b22feb64a22,15,26.0,16,4,0,1,0,0,,,1,0,0
253,11ebc4a8-ef4c-43a7-a141-768da2a633e2,15,36.0,19,6,1,2,0,0,3.5,2.0,1,0,0
473,e6dc0c2e-c235-4f81-a757-151e19d363bb,19,38.0,16,14,2,2,0,0,,,1,0,1
472,fe11e14f-9194-4d4e-adee-85af73e91a92,19,40.0,19,14,2,2,0,0,,,1,0,1
578,101d16bb-23a8-40ba-9ca5-de32e7d49c43,3,25.0,12,8,3,3,0,0,,,1,0,1
236,70fcd73d-55a9-4dfa-8575-e42bc39ab79f,18,12.0,8,3,0,1,0,0,,,0,0,0
238,0871cc9f-4152-4c0b-bfeb-d6c8f4e40c0f,18,18.0,14,2,0,2,0,0,3.0,,0,0,0
244,5f57877c-5bfa-486c-81fb-99f8600e10a5,18,5.0,3,0,2,1,0,0,,,0,0,0
243,4dd102d3-60d2-4634-9b9b-4d4bf695b934,18,5.0,3,0,2,1,0,0,,,0,0,0
242,1383cb70-4828-4030-91b1-a61aa603e6c0,18,4.0,3,0,1,1,0,0,,,0,0,0
239,260d5905-d6da-4486-a739-cfb2b78ebad3,18,4.0,2,0,2,1,0,0,,,0,0,0
240,d5f4161c-6702-4791-99fa-33e750e4df93,18,4.0,2,0,2,1,0,0,4.0,,0,0,0
241,9be81c85-b666-406a-b53b-cc9a508df440,18,4.0,2,0,2,1,0,0,4.0,,0,0,0
646,6152f53a-75e0-4adf-937c-a1b64c057006,3,25.0,12,8,3,3,0,0,,,1,0,1
946,2f0d83f5-b8f3-468d-8994-c92c3d08485c,15,0.0,0,1,0,0,0,0,,,1,1,0
947,d36530b8-a737-4156-8867-f2adb5fa288c,15,21.0,17,4,0,1,0,0,2.7333333333333334,,1,1,0
948,aba4f1ee-0dcd-481c-ba05-dfcbfb348072,15,21.0,17,4,0,1,0,0,3.902439024390244,,1,1,0
256,9a7eab43-685e-4cd5-8361-509aa980eac5,8,17.0,15,0,2,0,1,0,,,2,0,1
257,3b730187-99d1-4bc2-a502-b43496763f4d,8,10.0,8,0,2,0,1,0,,,2,0,1
258,05164bc9-3e88-4b66-8e30-afb0ba216e5b,8,14.0,12,0,2,0,1,0,,,2,0,1
259,735ab0db-22c0-4b12-b894-66edd395d12c,18,17.0,14,2,0,2,0,0,,,0,0,0
260,17e8ec5a-dc3c-45aa-9711-03a86db2b929,18,2.0,2,0,0,1,0,0,,,0,0,0
