id,school_id,Number of Started Assigned Learning Activities,Number of Completed Assigned Learning Activities,Ratio of Completed Learning Activities to Assigned Learning Activities,Total Time in Completed Learning Activities,Average Time in Completed Learning Activities,Number of Exercise Activities,Number of Engagement Activities,Number of Comunication Activities,Number of Video Activities,Number of Game Activities,Number of Free Learning Activities,Number of Unique Free Learning Activities,Number of Started Learning Tracks,Number of Completed Learning Tracks,Total Time in Completed Learning Tracks,Average Time in Completed Learning Tracks,Number of Language Learning Tracks Started,Number of STEM Learning Tracks Started,Number of Music Learning Tracks Started,Number of Religion Learning Tracks Started,Number of Problems,Average Difficulty Rating,Average Fun Rating
cd926125-555d-4b5d-805e-1416f143a638,9,8,8,1.1428571428571428,30 days 00:44:43.197170,3 days 18:05:35.399646250,5,0,0,2,1,0,0,1,1,35 days 00:33:25.518000,35 days 00:33:25.518000,0,0,1,0,1,,4.8
f571d530-9e2e-4555-946f-18d0f8cf4237,9,29,28,0.4375,2 days 02:44:26.196254,0 days 01:48:43.792723357,20,6,0,2,1,0,0,3,0,,,2,0,1,0,1,,3.9545454545454546
534e505e-5827-4b34-8c6c-9ce434410313,9,29,26,0.40625,2 days 02:58:57.134425,0 days 01:57:39.120554807,19,7,0,2,1,0,0,3,0,,,2,0,1,0,0,,3.6842105263157894
a995bbef-5035-4107-9549-6b49bd7d316a,9,26,23,0.323943661971831,2 days 02:42:59.041598,0 days 02:12:18.219199913,15,7,0,2,2,2,2,4,0,,,2,0,2,0,1,,4.875
b26bff84-1d51-46a1-8f5c-c91cc9452d16,9,23,20,0.35714285714285715,2 days 02:34:42.739929,0 days 02:31:44.136996450,14,7,0,2,0,0,0,2,0,,,2,0,0,0,1,,3.3846153846153846
827de68d-d8e0-4b46-9c00-d7c4c2baed02,9,20,19,0.296875,5 days 08:21:08.843877,0 days 06:45:19.412835631,10,7,0,2,1,0,0,3,0,,,2,0,1,0,2,,3.6363636363636362
b2bc6b3a-0117-4543-b316-13f6038eaa30,9,2,2,0.25,0 days 00:21:00.421928,0 days 00:10:30.210964,0,0,0,1,1,0,0,1,0,,,0,0,1,0,0,,
d6516f96-8ae7-4b4b-856f-8987b256e9ff,9,30,27,0.421875,0 days 01:59:09.771356,0 days 00:04:24.806346518,22,5,0,2,1,0,0,3,0,,,2,0,1,0,2,,3.8636363636363638
47b60525-bf2f-41f5-aa80-8898ae12beb2,9,33,31,0.484375,2 days 02:45:43.458135,0 days 01:38:14.950262419,23,7,0,2,1,0,0,3,0,,,2,0,1,0,0,,2.4583333333333335
856f1e6b-6b87-4427-89ce-204f8631c042,9,28,27,0.48214285714285715,0 days 02:05:16.806166,0 days 00:04:38.400228370,19,7,0,2,0,0,0,2,0,,,2,0,0,0,0,,3.6
